ID Number,Type,Principal Address,Principal Mailing Address,Status,Place Of Formation,Formation Date,Registered Agent Name,Registered Agent Street Address,Registered Agent Mailing Address,Incorporators,Incorporators Street Address,Incorporators Mailing Address,Members,Members Street Address,Members Mailing Address
472 - 693,Domestic Limited Liability Company,"DAPHNE, AL ",Not Provided ,Exists,Baldwin County,     12-15-2005,"BECKHAM, SEAN T
    ", 28746 CANTERBERRY RD," Not Provided
    ",,,,"BECKHAM, SEAN T
    ,BECKHAM, MICHELLE L
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
237 - 000,Domestic Professional Corporation,"GADSDEN, AL ",Not Provided ,Dissolved,Etowah County,     8-19-2004,"MORRIS, MICHAEL K
    ", 200 W MEIGHAN  STE E," Not Provided
    ","MORRIS, MICHAEL K
    "," Not Provided
    ",,,,
182 - 573,Domestic Corporation,"BAYOU LA BATRE, AL ",Not Provided ,Dissolved,Mobile County,     9-30-1996,"ROUSH, RICHARD C
    ", 9155 LITTLE RIVER RD," Not Provided
    ","ROUSH, RICHARD C
    "," Not Provided
    ",,,,
182 - 573,Domestic Corporation,"BAYOU LA BATRE, AL ",Not Provided ,Dissolved,Mobile County,     9-30-1996,"ROUSH, RICHARD C
    ", 9155 LITTLE RIVER RD," Not Provided
    ","ROUSH, RICHARD C
    "," Not Provided
    ",,,,
472 - 684,Domestic Limited Liability Company,"FAIRHOPE, AL ",Not Provided ,Exists,Baldwin County,     12-15-2005,"BULLOCK, GEORGE L
    ", 18 LAUREL AVE," Not Provided
    ",,,,"BULLOCK, GEORGE L
    "," Not Provided
    "," Not Provided
    "
472 - 694,Domestic Limited Liability Company,"ELBERTA, AL ",Not Provided ,Dissolved,Baldwin County,     12-16-2005,"BARNES, CLIFFORD KEETON
    ", 9265 BAY POINT DR," Not Provided
    ",,,,"BARNES, CLIFFORD KEETON
    "," Not Provided
    "," Not Provided
    "
562 - 962,Domestic Non-Profit Corporation,"CULLMAN, AL ",Not Provided ,Exists,Cullman County,     12-22-2005,"HILL, LANE
    ", 510 13TH STREET NE," Not Provided
    ","WALKER, ALAN
    "," Not Provided
    ",,,,
562 - 963,Domestic Non-Profit Corporation,"CULLMAN, AL ",Not Provided ,Exists,Cullman County,     12-22-2005,"HILL, LANE
    ", 510 13TH STREET NE," Not Provided
    ","HACKER, EDDIE
    "," Not Provided
    ",,,,
472 - 670,Domestic Limited Liability Company,"ABBEVILLE, AL ",Not Provided ,Exists,Henry County,     12-27-2005,"DALTON, RODNEY
    ", 402 KIRKLAND ST," Not Provided
    ",,,,"DALTON, RODNEY
    "," Not Provided
    "," Not Provided
    "
472 - 680,Domestic Limited Liability Company,"MOBILE, AL ",Not Provided ,Exists,Baldwin County,     12-16-2005,"NEELY, DALE P
    ", 2506 OAKVIEW DRIVE," Not Provided
    ",,,,"NEUTZE, DAVID W
    ,NEELY, DALE P
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
195 - 266,Domestic Corporation,"SARDIS CITY, AL ",Not Provided ,Dissolved,Etowah County,     5-11-1998,"FOSTER, JACK
    ", 115 NOBLITT CIR," Not Provided
    ","FOSTER, JACK
    ,FOSTER, BARBARA GAIL
    "," Not Provided
    , Not Provided
    ",,,,
104 - 249,Domestic Corporation,"MOBILE, AL ",Not Provided ,Dissolved,Mobile County,     5-31-1985,"WILLIAMS, L
    ", 442 B SHILLINGERS RD," Not Provided
    ","WILLIAMS, L
    "," Not Provided
    ",,,,
472 - 685,Domestic Limited Liability Company,"GULF SHORES, AL ",Not Provided ,Dissolved,Baldwin County,     12-15-2005,"HUMPHREY, STEVE
    ", 4825 MILLHOUSE RD," Not Provided
    ",,,,"HUMPHREY, STEVE
    ,HUMPHREY, KIMBERLY
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
164 - 812,Domestic Corporation,"ORANGE BEACH, AL ",Not Provided ,Dissolved,Baldwin County,     6-13-1994,"HOPKINS, GREG
    ", 27844 CANAL ROAD," Not Provided
    ","ALFORD, DON L
    ,HOPKINS, GREG
    ,DEWEESE, DEWITT JR
    "," Not Provided
    , Not Provided
    , Not Provided
    ",,,,
048 - 060,Domestic Corporation,"MUSCLE SHOALS, AL ",Not Provided ,Dissolved,Colbert County,     10-3-1977,"Not Provided
    ", Not Provided," Not Provided
    ","MCANALLY, MAC
    ,WOODFORD, TERRY
    ,GARDNER, B T JR
    "," Not Provided
    , Not Provided
    , Not Provided
    ",,,,
502 - 324,Domestic Limited Partnership,HIGHWAY 43 NORTH,Not Provided ,Cancelled,Marengo County,     3-4-1996,"OVERMYER, DON H JR", HIGHWAY 43 NORTH," Not Provided
    ",,,,,,
929 - 562,Foreign Corporation,51 MADISON AVE,Not Provided ,Exists,Delaware,     11-6-1996,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
185 - 880,Domestic Corporation,"MONTGOMERY, AL ",Not Provided ,Merged,Montgomery County,     2-21-1997,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ","MARRION, CATHERINE A
    "," Not Provided
    ",,,,
472 - 709,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Dissolved,Montgomery County,     12-28-2005,"NATIONAL REGISTERED AGENTS INC
    ", 150 SOUTH PERRY ST," Not Provided
    ",,,,"ADAMS, MARLENE
    ,KERLEY, JEFF
    ,KERLEY, RODNEY
    "," Not Provided
    , Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    , Not Provided
    "
244 - 824,Domestic Corporation,"ATHENS, AL ",Not Provided ,Exists,Morgan County,     12-9-2005,"BELLO, ROMAN
    ", 18078 EAST LIMESTONE RD LOT N," Not Provided
    ","BELLO, ROMAN
    "," Not Provided
    ",,,,
472 - 580,Domestic Limited Liability Company,"DOTHAN, AL ",Not Provided ,Exists,Houston County,     12-20-2005,"BOOTH, REGINA FAYE
    ", 3505 MONTGOMERY HWY," Not Provided
    ",,,,"BOOTH, REGINA FAYE
    "," Not Provided
    "," Not Provided
    "
237 - 923,Domestic Corporation,"VANDIVER, AL ",Not Provided ,Dissolved,Shelby County,     10-20-2004,"GORBY, GWENDOLYN SUE
    ", 53212 HWY 25," Not Provided
    ","GORBY, GWENDOLYN SUE
    "," Not Provided
    ",,,,
472 - 510,Domestic Limited Liability Company,"BIRMINGHAM, AL ",Not Provided ,Exists,Jefferson County,     12-20-2005,"KING, SANDRA
    ", 3427 COLONNADE PKY," Not Provided
    ",,,,"DAWAHARE, STEPHEN D
    "," Not Provided
    "," Not Provided
    "
608 - 104,Foreign Limited Liability Company,3427 COLONNADE PKWY,Not Provided ,Merged,Kentucky,     3-11-2005,"LINK, DAVID H
    ", 2205 COMER PL," Not Provided
    ",,,,,,
609 - 723,Foreign Limited Liability Company,3201 C ST  STE 700,Not Provided ,Withdrawn,Alaska,     1-24-2003,"CSC LAWYERS INCORPORATING SVC INC
    ", 150 S PERRY ST, 150 S PERRY ST,,,,,,
472 - 820,Domestic Limited Liability Company,"WETUMPKA, AL ",Not Provided ,Exists,Elmore County,     12-19-2005,"ALLDAY, DEWAYNE
    ", 90 TIMBER TRAIL," Not Provided
    ",,,,"ALLDAY, DEWAYNE
    "," Not Provided
    "," Not Provided
    "
472 - 734,Domestic Limited Liability Company,"BIRMINGHAM, AL ",Not Provided ,Dissolved,Jefferson County,     12-29-2005,"HARTLEY, GREGORY
    ", 3404 DANNER CIRCLE," Not Provided
    ",,,,"HARTLEY, GREGORY
    "," Not Provided
    "," Not Provided
    "
472 - 795,Domestic Limited Liability Company,"STERRETT, AL ",Not Provided ,Merged,Shelby County,     12-27-2005,"ROENSCH, MARY F
    ", 18274 HWY 55," Not Provided
    ",,,,"PUMPKIN HOLLOW ASSOCIATION INC
    "," Not Provided
    "," Not Provided
    "
472 - 782,Domestic Limited Liability Company,"HATCHECHUBEE, AL ",Not Provided ,Exists,Russell County,     12-29-2005,"MAZZOLA, CHARLES A
    ", 537 HWY 26," Not Provided
    ",,,,"MAZZOLA, CHARLES A
    ,MAZZOLA, BETSY
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
688 - 248,Domestic Limited Liability Company,"CHELSEA, AL ",Not Provided ,Dissolved,Shelby County,     2-27-2003,"SAXON, DOUG
    ", 160 CO RD 69," Not Provided
    ",,,,"HICKS, WILLIAM E
    ,SAXON, JOHN D
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
609 - 720,Foreign Limited Liability Company,1200 N ASHLAND AVE  STE 600,Not Provided ,Exists,Delaware,     12-29-2005,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
451 - 328,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Dissolved,Montgomery County,     5-13-2004,"CSC-LAWYERS INCORPORATING SVC INC
    ", 150 S PERRY ST," Not Provided
    ",,,,"WEST, WHITNEY E
    "," Not Provided
    "," Not Provided
    "
602 - 526,Foreign Limited Liability Company,290 CONCORD RD,Not Provided ,Cancelled,Delaware,     12-18-1997,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
602 - 061,Foreign Limited Liability Company,290 CONCORD ROAD,Not Provided ,Cancelled,Delaware,     11-29-1999,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
655 - 433,Domestic Limited Liability Company,1808 29TH AVE S,Not Provided ,Dissolved,Jefferson County,     12-18-1996,"HOWARD, JOHN M
    ", 1808 29TH AVENUE SOUTH," Not Provided
    ",,,,"HOWARD, JOHN M
    ,HOWARD, CONSTANCE M
    ,HOWARD, JAMES A
    "," Not Provided
    , Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    , Not Provided
    "
555 - 372,Domestic Non-Profit Corporation,"BIRMINGHAM, AL ",Not Provided ,Exists,Shelby County,     9-21-2001,"GOLDMAN, BENJAMIN S
    "," 1801 5TH AVENUE NORTH, SUITE 400"," 1801 5TH AVENUE NORTH, SUITE 400","SYLVESTER, WILLIAM R
    "," Not Provided
    ",,,,
244 - 819,Domestic Corporation,"ANDALUSIA, AL ",Not Provided ,Dissolved,Covington County,     12-29-2005,"MCQUAID, CHARLES L
    ", 1510 E THREE NOTCH ST," Not Provided
    ","BROOK, KIMBERLY
    "," Not Provided
    ",,,,
472 - 663,Domestic Limited Liability Company,"GROVE HILL, AL ",Not Provided ,Exists,Clarke County,     12-29-2005,"SKIPPER, THOMAS GRAY
    ", 144 CLAY ST," Not Provided
    ",,,,"SKIPPER, THOMAS GRAY
    ,SKIPPER, TI'SHEA JONES
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
609 - 721,Foreign Limited Liability Company,2170 MAIN STREET SUITE 303,242 S WASHINGTON BLVD #352,Exists,Georgia,     7-22-2003,"LOPER, JOHN
    ", 160 MAIN ST  STE 128, 160 MAIN ST  STE 128,,,,,,
920 - 686,Foreign Corporation,230 E OHIO ST STE 303,Not Provided ,Withdrawn,Delaware,     10-28-1991,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
562 - 950,Domestic Non-Profit Corporation,"HUNTSVILLE, AL ",Not Provided ,Exists,Madison County,     12-22-2005,"LEE, HASKELL J
    ", 2604 MIRABEAULPR," Not Provided
    ","LEE, HASKELL J
    "," Not Provided
    ",,,,
244 - 846,Domestic Corporation,"BIRMINGHAM, AL ",Not Provided ,Dissolved,Jefferson County,     12-27-2005,"MARTIN, PATRICIA K
    ", 2090 COLUMBIANA RD STE 3200," Not Provided
    ","MARTIN, PATRICIA K
    ,MARTIN, ANDREW
    ,BATTLE, WILLIAM R
    "," Not Provided
    , Not Provided
    , Not Provided
    ",,,,
472 - 730,Domestic Limited Liability Company,"BIRMINGHAM, AL ",Not Provided ,Exists,Jefferson County,     12-29-2005,"COTTINGHAM, DIKEANA
    ", 29 5TH AVE SOUTH," Not Provided
    ",,,,"ANDERSON, BOMANI
    ,COTTINGHAM, DIKEANA
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
472 - 816,Domestic Limited Liability Company,"MOBILE, AL ",Not Provided ,Exists,Mobile County,     12-29-2005,"OGBURN, A P JR
    ", 24390 US HWY 98 SUITE 1, 24390 US HWY 98 SUITE 1,,,,"OGBURN FAMILY LIMITED PARTNERSHIP I
    ,OGBURN FAMILY LIMITED PARTNERSHIP II
    ,MCLEOD, GARY
    ,FERRELL, F MICHAEL
    ,LOISELLE, DANE
    "," Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    "
472 - 676,Domestic Limited Liability Company,"MOBILE, AL ",Not Provided ,Exists,Mobile County,     12-28-2005,"BRYARS, CHARLES H III
    ", 2770 HILLCREST RD," Not Provided
    ",,,,"TENSAS HOLDINGS LLC
    ,THE BRYARS BALDWIN COUNTY TRUST
    ,BRYARS DESCENDANTS TRUST
    "," Not Provided
    , Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    , Not Provided
    "
472 - 675,Domestic Limited Liability Company,"MOBILE, AL ",Not Provided ,Exists,Mobile County,     12-28-2005,"BRYARS, CHARLES H III
    ", 2770 HILLCREST RD," Not Provided
    ",,,,"BRYARS, CHARLES H III
    "," Not Provided
    "," Not Provided
    "
464 - 373,Domestic Limited Liability Company,"BAY MINETTE, AL ",Not Provided ,Exists,Baldwin County,     5-13-2005,"DAVIS, BILL
    ", 16270 PINE GROVE RD N," Not Provided
    ",,,,"DAVIS, BILL
    "," Not Provided
    "," Not Provided
    "
464 - 373,Domestic Limited Liability Company,"BAY MINETTE, AL ",Not Provided ,Exists,Baldwin County,     5-13-2005,"DAVIS, BILL
    ", 16270 PINE GROVE RD N," Not Provided
    ",,,,"DAVIS, BILL
    "," Not Provided
    "," Not Provided
    "
472 - 745,Domestic Limited Liability Company,"BIRMINGHAM, AL ",Not Provided ,Dissolved,Jefferson County,     12-30-2005,"BARAKAT, HOSSAM A
    ", 210 212 9TH ST N," Not Provided
    ",,,,"BARAKAT, HOSSAM
    ,BARAKAT, IHAB
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
452 - 040,Domestic Limited Liability Company,"MONTGOMERY, AL ",Not Provided ,Dissolved,Montgomery County,     6-3-2004,"BOBO, DAVID A
    ", 2824 FAIR OAKS DR," Not Provided
    ",,,,"BOBO, ANGELO D
    ,BOBO, DAVID A
    ,HOLLEMAN, KIM
    ,HOLLEMAN, JERRY
    ,WINTERS, KIM
    ,WINTERS, KEVIN
    "," Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    , Not Provided
    "
932 - 230,Foreign Corporation,1194 BUCKHEAD CROSSING  STE C,Not Provided ,Withdrawn,Georgia,     5-22-2003,"NATIONAL CORPORATE RESEARCH LTD INC
   ", 2527 COLLEGE ST," Not Provided
    ",,,,,,
932 - 234,Foreign Corporation,3903-B VOLUNTEER DR,Not Provided ,Exists,Tennessee,     7-11-2003,"SMARTT, SARAH
    ", 848 SHERMAN ST," Not Provided
    ",,,,,,
244 - 896,Domestic Corporation,"MONTGOMERY, AL ",Not Provided ,Exists,Montgomery County,     12-29-2005,"WALKER, LLOYD D
    ", 312 AIRBASE BLVD," Not Provided
    ","LEAVER, STEPHANIE
    "," Not Provided
    ",,,,
609 - 717,Foreign Limited Liability Company,14528 S OUTER 40 RD  STE 210,Not Provided ,Exists,Missouri,     12-31-2005,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
244 - 888,Domestic Corporation,"LEESBURG, AL ",Not Provided ,Dissolved,Cherokee County,     12-30-2005,"FORMBY, LANE
    ", 215 INDUSTRIAL BLVD," Not Provided
    ","FORMBY, LANE
    "," Not Provided
    ",,,,
244 - 864,Domestic Corporation,"ADAMSVILLE, AL ",Not Provided ,Exists,Jefferson County,     12-29-2005,"DAY, GLENDON M
    ", 2519 HILLCREST WAY," Not Provided
    ","GALLOWAY, MICHAEL
    "," Not Provided
    ",,,,
472 - 790,Domestic Limited Liability Company,"PELHAM, AL ",Not Provided ,Dissolved,Shelby County,     12-29-2005,"WISE, J F JR
    ", 480 CAHABA VALLEY RD," Not Provided
    ",,,,"WISE, J F JR
    ,WISE, PAMELA B
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
472 - 728,Domestic Limited Liability Company,"VESTAVIA HILLS, AL ",Not Provided ,Exists,Jefferson County,     12-29-2005,"ROBINSON, M LLOYD JR
    ", 1840 OLD CREEK TRAIL," Not Provided
    ",,,,"ROBINSON, GIGI C
    ,ROBINSON, M LLOYD JR
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
929 - 765,Foreign Corporation,6300 WILSON MILLS RD,Not Provided ,Withdrawn,Ohio,     12-29-1987,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," Not Provided
    ",,,,,,
932 - 224,Foreign Corporation,440 LINCOLN STREET,440 LINCOLN STREET,Exists,Michigan,     12-2-1997,"C T CORPORATION SYSTEM
    "," 2 NORTH JACKSON ST., SUITE 605"," 2 NORTH JACKSON ST., SUITE 605",,,,,,
